Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
304.0,312.9,1363,62.5,200
302.0,310.8,1454,36.6,0
297.0,308.3,1399,46.4,132
299.4,308.7,1289,60.5,104
304.1,313.2,1412,47.5,150
298.0,307.7,1492,38.7,202
298.5,309.3,1465,42.4,173
297.5,308.3,1521,38.2,74
299.4,310.9,1751,27.8,10
298.9,308.8,1530,38.3,23
301.4,310.0,1651,29.8,44
300.7,310.5,1567,38.7,129
298.9,310.1,1394,42.7,179
302.6,310.4,1514,42.7,75
300.4,311.4,1424,44.6,127
301.0,310.1,1558,32.6,0
298.2,309.4,1398,52.9,79
299.9,309.2,1658,34.8,16
300.9,310.4,1561,32.7,67
303.8,312.9,1819,23.7,16
300.7,310.2,1387,50.6,83
298.2,307.9,1399,54.9,139
300.4,309.8,1421,47.2,0
300.7,312.1,1498,44.0,155
300.7,309.5,1685,31.1,27
297.9,307.8,1499,37.5,78
300.1,311.4,1446,40.6,147
297.6,308.8,1475,43.0,119
298.3,309.1,1437,38.0,93
300.4,309.7,1534,42.5,127
302.3,311.4,1372,46.0,86
297.5,309.3,1470,38.8,197
302.0,310.4,1611,35.6,117
297.8,309.1,1424,45.5,2
300.5,311.9,1370,44.8,20
303.6,313.1,1405,38.3,58
300.1,309.7,1601,35.8,160
298.7,309.7,1629,27.9,136
298.7,310.1,1433,54.6,66
301.7,310.5,1625,35.9,121
299.0,309.0,1351,52.2,44
300.8,310.8,1634,29.2,149
299.3,309.1,1531,37.9,127
297.5,309.2,1715,28.0,30
300.2,309.4,1329,53.6,186
300.3,309.2,1462,51.4,48
297.0,307.8,1553,33.3,155
302.2,311.2,1663,29.6,115
301.1,311.3,1622,35.6,34
297.0,307.9,1846,27.3,179
300.5,311.1,1296,61.3,202
303.8,312.5,1655,28.0,170
300.7,309.5,1592,29.0,17
298.0,309.2,1527,39.5,85
297.7,307.1,1715,30.2,0
303.3,311.4,1510,37.3,36
302.6,311.0,1660,38.0,99
302.8,310.6,1404,43.2,203
296.1,307.1,1350,53.3,22
302.5,311.0,1463,43.1,181
300.4,309.4,1412,51.6,153
300.8,311.2,1376,48.1,172
300.9,309.5,1612,35.2,124
298.8,309.9,1550,38.8,53
303.9,313.3,1567,35.0,168
299.6,310.9,1658,28.0,76
299.0,310.2,1628,35.8,64
301.8,310.8,1619,31.0,76
301.4,311.0,1334,53.3,157
297.4,308.5,1600,42.1,190
302.6,310.3,1647,34.2,14
299.1,308.5,1455,39.8,145
298.5,308.0,1624,29.8,160
299.7,310.8,1589,36.0,190
297.3,308.0,1384,49.1,206
302.3,311.8,1281,51.7,61
298.9,310.2,1654,31.1,158
297.8,309.0,1410,48.8,23
298.9,310.5,1717,26.9,17
301.9,310.9,1799,24.2,54
299.1,308.2,1435,45.2,45
300.1,309.6,1541,37.0,96
299.9,309.4,1322,53.9,33
299.3,308.6,1605,37.0,78
302.4,312.0,1508,36.9,5
298.8,308.5,1359,47.6,85
302.2,311.1,1394,53.7,140
302.0,311.0,1563,36.2,8
300.1,311.4,1418,47.7,73
300.4,309.7,1466,39.8,184
301.5,310.4,1378,55.3,109
299.2,310.1,1534,37.7,10
301.1,310.7,1376,49.1,0
299.1,310.4,1550,43.9,79
299.0,310.2,1690,30.7,244
302.3,311.3,1652,32.8,108
299.5,308.7,1446,45.7,173
298.6,308.2,1705,26.3,177
300.4,309.8,1342,52.5,68
300.1,309.2,1418,39.8,221
302.4,310.3,1480,45.8,123
302.7,312.3,1346,61.2,170
303.3,312.7,1643,30.7,142
303.6,312.2,1371,54.6,112
298.4,309.4,1461,46.3,121
303.6,312.4,1781,28.7,124
296.9,307.6,1685,32.0,10
296.5,307.6,1607,33.5,104
299.7,310.4,1410,44.5,105
298.4,309.0,1507,36.1,191
299.1,308.9,1467,47.2,218
300.8,311.6,1568,36.0,23
300.6,309.6,1503,38.4,68
300.7,310.7,1377,46.7,36
298.6,308.2,1390,51.4,168
298.8,308.9,1527,32.4,189
297.2,308.3,1805,25.6,103
301.4,310.6,1347,53.3,104
297.6,308.7,1622,37.9,79
302.0,309.7,1414,36.3,209
297.2,308.5,1425,45.8,109
301.9,309.8,1724,27.5,126
301.4,310.6,1431,40.6,101
301.3,311.0,1410,52.7,161
299.3,308.6,1520,41.4,67
299.2,308.5,1378,53.4,100
298.3,309.1,1421,47.4,33
302.3,311.1,1435,43.1,149
297.5,308.3,1437,42.3,29
301.0,312.2,1629,32.6,69
303.0,312.7,1361,48.8,120
300.1,309.3,1570,36.8,189
302.2,311.3,1530,37.3,207
296.3,307.1,1774,25.9,154
298.2,308.7,1428,54.9,45
302.2,311.5,1543,38.5,37
301.2,312.4,1395,47.8,90
298.4,308.0,1605,32.4,154
303.7,312.9,1460,49.8,2
300.0,311.3,1484,53.2,158
300.2,309.2,1430,43.4,24
299.4,308.8,1627,32.6,124
301.2,311.6,1423,48.0,199
300.1,311.3,1547,40.0,201
298.8,309.7,1582,45.0,11
298.4,309.6,1477,35.6,101
296.6,307.5,1582,37.9,197
301.8,310.6,1395,50.5,131
298.8,309.7,1439,45.8,81
298.0,308.7,1462,48.2,204
297.4,308.8,1538,41.2,126
300.7,310.8,1608,39.5,202
301.3,310.9,1566,33.1,82
300.3,310.4,1293,49.7,37
302.6,310.4,1365,66.8,80
300.7,309.6,1403,51.3,174
297.8,308.4,1737,27.5,146
298.7,308.5,1353,47.0,190
302.6,311.0,1620,36.2,139
300.6,310.0,1542,33.9,100
300.5,309.5,1795,27.7,117
301.8,310.8,1456,46.6,35
301.2,309.9,1362,50.7,25
298.8,308.6,1599,33.0,101
297.5,308.5,1671,28.0,158
301.6,310.6,1553,38.9,0
301.2,312.4,1480,53.5,97
299.5,310.0,1481,43.1,90
300.9,311.0,1853,23.6,122
298.7,308.5,1444,54.2,62
300.4,310.8,1390,52.5,144
301.5,310.6,1405,42.3,83
297.3,308.2,1754,26.8,125
303.3,311.6,1484,44.6,223
299.5,310.8,1600,32.4,67
301.5,310.5,1453,44.2,129
303.5,312.9,1501,44.0,128
297.2,308.6,1284,51.3,32
300.5,311.7,1619,32.7,85
302.4,310.4,1666,29.7,125
297.2,308.7,1501,38.5,86
303.6,312.9,1588,31.9,53
302.4,311.5,1540,43.7,81
295.6,306.1,1490,42.7,171
300.2,311.6,1671,28.8,149
297.8,307.5,1372,54.1,157
301.6,310.6,1478,36.6,218
303.3,312.7,1262,63.8,100
298.5,309.7,1613,36.7,0
300.0,311.4,1692,29.0,216
304.2,313.3,1410,51.6,47
300.7,310.1,1351,46.9,165
301.4,310.4,1579,36.9,133
300.2,311.6,1608,35.0,212
300.2,309.8,1743,24.1,18
299.7,309.2,1326,64.8,71
299.5,309.0,1399,49.7,207
299.4,309.2,1433,42.1,22
299.8,310.6,1694,31.3,121
300.0,311.5,1749,28.3,83
302.5,311.9,1520,44.9,94
297.6,308.4,1703,31.4,205
301.5,310.7,1790,26.2,8
299.0,310.2,1657,32.3,64
302.3,310.9,1459,35.0,32
295.9,306.6,1532,38.6,104
300.5,309.8,1461,52.5,146
300.3,311.4,1386,48.1,119
297.9,307.8,1665,33.9,102
301.4,310.5,1571,33.9,208
298.0,309.0,1439,38.5,34
297.2,307.9,1747,29.0,188
297.1,307.8,1636,30.3,90
303.6,312.4,1480,50.7,2
302.2,311.5,1443,47.0,90
299.5,310.8,1447,41.0,93
300.9,310.7,1392,44.2,97
302.9,312.4,1334,50.9,5
297.4,309.2,1428,38.8,26
300.5,311.6,1730,30.2,106
298.0,309.1,1820,23.6,120
298.6,309.9,1393,45.5,38
302.3,311.0,1446,37.6,75
301.3,310.1,1455,44.1,188
299.0,308.7,1396,48.6,0
297.5,309.4,1482,39.3,112
301.5,310.7,1426,46.1,81
300.7,311.7,1532,40.0,0
302.0,311.0,1550,35.2,184
300.7,311.9,1476,42.0,196
298.8,309.8,1288,61.9,79
295.7,306.4,1387,40.1,81
300.5,311.8,1596,34.8,87
300.0,309.7,1542,47.1,25
297.4,308.4,1664,28.1,67
302.6,311.6,1576,34.7,182
301.5,310.7,1568,33.1,38
304.2,313.6,1411,46.0,149
300.1,311.4,1438,42.2,139
300.3,311.8,1488,38.4,51
297.0,308.0,1408,47.9,54
298.2,308.9,1737,25.5,26
301.7,311.1,1399,55.1,156
300.4,310.8,1520,37.6,151
298.2,307.7,1459,44.5,89
297.4,307.9,1390,52.0,131
300.2,310.2,1429,43.8,54
301.0,310.9,1392,52.9,173
303.1,311.2,1626,32.3,21
299.2,310.6,1567,38.4,172
301.8,309.6,1443,42.7,231
302.6,311.0,1589,39.0,122
298.9,309.2,1581,36.7,101
300.3,311.5,1378,47.5,64
303.0,311.2,1601,32.9,69
300.7,310.4,1416,61.8,209
297.5,308.8,1533,41.5,223
301.3,310.0,1550,41.5,197
302.2,311.2,1451,41.8,66
300.1,311.1,1616,35.2,183
300.5,309.8,1379,54.2,207
297.3,308.4,1430,45.7,15
300.5,309.8,1445,43.9,164
298.2,308.8,1666,31.5,30
303.3,311.3,1393,47.4,18
298.4,309.1,1362,46.1,37
301.5,310.9,1524,40.4,124
298.4,309.3,1390,53.6,5
297.9,307.5,1880,23.3,146
302.9,311.2,1751,23.8,196
302.4,311.9,1366,47.3,162
299.9,309.4,1889,26.0,6
299.3,310.8,1391,46.9,21
299.3,309.0,1419,46.6,158
299.4,310.6,1348,54.5,22
301.5,310.6,1481,46.8,20
300.6,310.7,1543,39.6,60
298.4,309.7,1870,22.5,170
299.6,309.1,1630,32.3,194
299.3,310.5,1281,59.8,15
299.0,310.0,1484,39.6,212
297.4,308.3,1431,43.0,113
303.0,312.3,1486,42.4,112
298.3,307.9,1609,32.4,151
297.3,308.8,1586,32.7,131
300.1,311.4,1604,35.0,191
297.5,308.1,1548,38.2,117
297.4,308.3,1571,37.7,162
300.0,309.6,1491,42.0,29
297.1,308.7,1474,42.3,64
303.5,311.6,1577,38.1,112
297.4,308.4,1517,41.0,18
298.4,308.0,1571,37.4,50
298.2,309.1,1568,36.3,166
301.7,310.1,1424,50.2,54
299.3,310.4,1725,26.8,167
302.1,310.7,1359,49.3,41
300.4,309.6,1523,38.5,124
298.1,308.5,1676,30.5,22
301.0,311.3,1349,47.0,71
303.6,312.0,1391,50.3,101
301.4,310.8,1740,29.2,110
303.7,312.8,1523,40.7,59
300.9,310.0,1600,36.0,204
297.5,309.5,1668,27.9,240
295.8,306.6,1644,35.2,115
299.7,309.1,1347,55.3,139
300.8,310.7,1371,44.7,205
302.6,311.0,1537,35.5,91
300.3,311.5,1403,60.1,58
300.7,312.2,1335,49.0,62
303.3,311.8,1692,30.6,18
297.2,308.0,1705,26.0,200
299.3,308.4,1468,42.2,83
300.4,309.6,1416,43.3,66
302.4,311.9,1541,37.9,192
299.1,310.4,1450,40.9,85
299.1,308.4,1332,51.7,71
301.5,310.7,1408,47.3,79
302.1,310.7,1294,62.4,101
300.7,310.6,1654,34.2,89
297.3,308.4,1488,37.4,69
301.7,311.0,1585,35.9,185
302.6,311.9,1453,39.1,84
300.6,309.4,1312,45.2,73
301.5,310.8,1385,47.5,30
300.0,311.2,1629,31.7,62
299.0,310.0,1360,48.1,37
301.3,310.8,1381,47.9,33
299.3,308.8,1603,33.9,203
300.5,309.8,1566,35.9,204
303.4,311.5,1879,21.3,78
301.5,310.7,1347,47.9,29
303.0,312.7,1553,35.8,122
300.6,310.6,1497,38.2,83
300.7,310.9,1637,37.2,115
300.0,311.4,1533,42.6,180
302.7,310.5,1351,41.8,10
300.7,310.5,1448,38.2,218
298.5,308.6,1522,36.9,53
298.3,308.0,1553,41.0,52
302.4,311.8,1320,56.4,100
300.5,309.3,1528,37.0,221
298.6,309.8,1561,32.6,201
298.2,308.0,1577,35.9,151
297.8,307.5,1388,40.0,159
304.1,313.5,1428,39.9,88
302.8,310.6,1617,37.9,207
302.0,311.2,1270,65.3,182
301.1,310.5,1603,32.6,121
303.2,311.4,1324,54.2,228
297.4,308.5,1295,52.1,130
302.4,310.3,1479,36.2,115
298.9,308.6,1425,49.6,35
301.2,309.9,1382,52.4,13
298.9,310.2,1533,42.8,138
298.4,309.2,1335,53.5,168
299.1,310.0,1394,46.6,27
296.3,307.2,1291,58.6,29
302.9,311.1,1556,45.3,135
302.6,310.4,1359,57.2,67
302.6,311.9,1354,48.0,67
297.6,308.7,1476,39.0,44
299.5,309.3,1675,29.2,132
297.3,308.8,1548,41.3,140
301.5,310.6,1381,50.7,206
300.7,311.3,1562,37.1,58
300.4,311.2,1673,28.9,171
298.8,309.6,1613,27.7,143
301.4,311.1,1495,36.3,193
299.4,308.8,1390,57.0,92
300.8,310.8,1415,44.5,87
295.6,306.1,1462,49.2,158
298.7,309.8,1394,40.3,11
299.3,309.1,1449,47.9,131
302.4,310.4,1865,23.9,129
299.8,310.6,1707,32.5,124
298.2,309.4,1693,34.4,73
297.9,307.8,1397,45.0,104
302.5,311.5,1496,43.8,218
299.9,309.6,1489,41.7,56
298.4,309.2,1583,35.4,112
299.2,310.7,1636,29.4,23
300.6,309.4,1463,49.2,235
300.6,310.3,1484,41.0,213
300.5,310.5,1515,36.6,54
299.0,310.4,1452,46.2,168
298.9,310.0,1487,36.6,129
300.3,309.9,1494,38.5,33
298.1,309.9,1634,30.0,53
301.7,310.7,1318,55.0,194
298.1,308.3,1453,41.5,204
303.4,312.8,1526,30.8,37
298.8,308.2,1450,44.7,14
298.0,307.5,1618,35.2,31
302.8,311.1,1456,36.1,89
298.4,308.2,1610,35.0,24
300.9,309.5,1469,43.4,126
300.7,309.5,1850,24.5,19
299.5,309.2,1497,40.9,169
298.0,307.5,1784,27.8,163
299.7,309.0,1412,49.2,85
300.2,309.5,1434,51.5,189
301.4,311.1,1494,41.9,142
300.4,309.8,1435,43.6,203
298.2,307.8,1599,31.2,173
300.4,311.0,1433,46.1,199
297.4,309.0,1570,37.9,154
296.7,307.4,1661,34.2,109
298.9,308.7,1727,29.4,116
300.4,309.5,1711,29.2,215
299.5,309.3,1422,49.2,179
301.2,310.7,1426,46.1,67
295.8,306.5,1358,49.2,63
298.8,308.8,1441,40.5,63
303.1,312.9,1511,40.1,107
303.4,311.9,1298,63.9,59
301.6,310.0,1566,30.3,79
298.3,309.5,1560,36.9,131
302.7,310.6,1690,26.7,4
298.4,307.9,1743,27.3,134
298.1,307.7,1479,45.0,136
297.4,308.7,1468,46.6,94
298.9,308.9,1487,39.5,30
300.4,309.6,1432,44.7,192
298.0,307.9,1482,37.8,132
298.2,310.0,1433,44.2,68
299.6,310.2,1469,47.0,15
300.4,311.8,1601,36.1,0
296.3,307.4,1472,39.9,51
300.2,311.7,1493,48.3,167
300.4,310.8,1491,35.9,148
300.6,311.7,1497,43.6,198
304.0,313.2,1584,38.7,104
303.6,312.0,1827,23.3,103
296.7,307.6,1474,41.7,148
299.0,310.4,1339,49.6,94
302.2,310.5,1507,40.4,111
302.9,312.3,1417,48.7,26
299.7,309.5,1375,46.8,86
301.7,311.0,1505,37.1,190
299.1,308.5,1587,35.6,2
301.0,309.7,1288,58.4,162
295.5,306.0,1326,50.8,18
297.5,309.4,1650,34.6,142
300.1,309.4,1464,41.7,30
298.7,309.2,1410,45.6,47
302.4,312.0,1562,37.9,10
297.1,308.4,1654,31.4,171
299.1,310.0,1431,49.5,205
300.8,311.1,1480,41.1,176
302.5,311.5,1358,52.7,139
302.4,310.3,1374,51.2,163
296.6,307.6,1809,25.1,86
298.0,308.0,1615,29.5,15
303.7,313.0,1456,45.5,51
299.1,308.3,1892,25.2,34
302.4,310.2,1445,46.4,125
299.5,309.1,1863,22.5,79
301.4,310.4,1388,45.3,188
300.9,310.4,1615,30.9,200
303.4,311.6,1497,42.8,58
296.4,307.5,1549,36.1,58
299.0,310.6,1587,34.2,141
301.9,311.0,1384,47.4,121
298.8,310.1,1704,30.7,150
301.9,310.6,1573,36.6,15
300.8,310.7,1589,34.3,144
300.7,310.1,1598,32.8,79
302.3,310.9,1596,33.5,104
300.9,310.4,1536,34.2,45
302.2,310.6,1632,30.5,122
298.3,308.2,1472,44.3,71
297.6,308.4,1391,51.9,218
296.4,307.5,1556,38.0,62
302.2,311.5,1744,31.2,172
300.5,311.4,1611,32.7,44
301.7,310.7,1532,39.8,92
298.4,307.9,1700,28.2,120
296.7,307.4,1540,38.7,45
304.0,313.2,1517,43.1,96
297.6,308.3,1816,28.8,106
302.2,311.3,1570,36.1,0
299.3,310.5,1818,26.0,102
301.7,311.0,1311,55.8,39
296.8,307.9,1420,45.4,70
300.0,309.7,1529,42.4,107
300.9,310.7,1352,46.4,212
298.1,308.1,1390,49.8,85
296.5,307.5,1566,35.1,206
298.3,309.1,1386,45.3,212
298.3,309.4,1816,22.6,138
301.3,311.0,1418,41.9,208
299.1,310.3,1472,46.6,157
301.5,310.8,1452,44.1,157
298.1,308.0,1638,35.1,38
299.1,310.2,1695,29.6,8
302.2,310.1,1572,34.6,17
300.6,309.4,1452,39.4,78
300.1,311.1,1619,33.4,186
297.6,308.6,1526,42.1,57
300.1,311.7,1400,48.5,205
297.1,307.9,1365,54.0,174
301.3,310.0,1506,40.8,11
298.8,309.1,1418,46.3,133
302.4,310.4,1521,38.5,142
300.0,311.2,1504,37.9,58
299.6,311.1,1521,37.2,131
297.8,307.8,1383,56.5,98
297.4,308.3,1472,45.5,2
300.7,310.7,1347,46.5,183
301.7,310.6,1505,44.5,146
297.5,308.5,1546,40.4,129
302.9,312.3,1509,46.8,175
302.8,310.9,1312,52.2,40
300.8,311.3,1465,43.2,113
300.3,311.7,1447,36.8,0
297.9,309.8,1461,50.5,38
302.3,310.8,1721,28.4,215
301.6,310.6,1599,36.1,208
298.8,308.4,1484,39.2,8
303.9,312.7,1401,50.0,129
298.5,309.4,1573,36.0,97
302.5,310.2,1716,29.9,156
297.6,308.6,1390,53.4,175
301.6,310.2,1384,57.1,68
297.4,308.4,1371,57.4,52
301.6,310.8,1535,35.4,148
300.0,309.5,1781,24.9,70
301.0,310.9,1740,28.9,129
299.4,309.1,1352,44.7,172
297.3,307.9,1579,34.4,193
298.0,308.2,1459,42.1,146
298.8,308.5,1527,36.2,3
302.2,311.1,1553,34.1,89
299.6,310.2,1743,24.8,99
298.0,308.6,1313,50.8,170
300.7,311.7,1864,23.6,47
298.0,308.2,1466,42.6,2
296.8,308.0,1371,54.5,86
303.4,312.9,1389,54.1,109
299.3,308.6,1403,50.6,189
297.5,308.6,1842,27.0,133
298.4,309.2,1345,52.7,196
300.9,310.8,1477,38.4,31
297.9,307.5,1574,35.8,153
298.3,308.0,1242,62.0,98
302.3,311.3,1324,47.8,131
297.7,308.1,1697,29.1,179
302.6,310.5,1596,32.8,193
300.2,309.6,1556,35.8,36
296.6,307.5,1485,42.7,204
303.6,312.5,1459,48.2,17
298.8,310.1,1585,31.3,147
301.6,310.6,1431,37.5,137
296.2,306.8,1655,31.1,136
297.4,308.6,1446,48.1,88
300.9,310.7,1427,44.1,141
302.4,311.0,1486,40.4,192
298.7,309.9,1541,38.5,208
300.2,309.5,1343,50.2,98
300.9,312.1,1297,48.6,76
299.0,308.7,1449,38.9,18
296.7,307.8,1375,51.4,108
300.2,310.0,1664,30.7,179
297.5,308.6,1347,57.0,132
300.3,311.7,1452,41.5,172
298.7,308.4,1430,49.6,135
299.0,309.9,1411,44.7,94
301.2,310.9,1598,35.9,71
299.8,309.1,1546,35.6,93
303.0,312.5,1602,33.7,135
298.9,308.4,1827,26.1,5
299.4,309.0,1415,51.7,62
297.3,308.3,1519,37.7,45
301.4,310.7,1617,34.3,101
300.8,311.4,1852,22.2,53
302.7,312.2,1450,52.1,213
300.6,310.1,1541,42.0,23
300.5,311.8,1524,38.9,214
300.5,309.5,1379,55.6,2
297.8,307.5,1391,48.6,109
301.5,310.6,1424,47.0,26
302.1,310.1,1753,28.9,176
298.3,308.2,1663,28.4,67
302.0,310.4,1568,39.2,112
297.8,308.8,1579,32.9,70
300.8,311.1,1698,24.8,156
301.4,310.5,1476,39.2,206
299.4,309.1,1670,35.9,68
302.1,311.5,1635,31.6,23
301.5,310.9,1580,32.3,11
301.3,311.1,1504,39.1,2
302.4,311.4,1475,40.4,126
299.2,308.9,1712,26.4,95
302.2,311.8,1330,62.4,31
302.5,311.9,1481,42.9,52
298.9,309.6,1365,50.9,183
298.8,310.0,1530,38.3,53
303.1,311.1,1854,22.6,19
300.0,309.1,1791,28.2,108
301.7,311.1,1469,37.2,128
300.2,311.6,1513,40.8,157
297.6,309.5,1617,36.2,42
300.7,311.2,1457,51.4,61
299.5,310.8,1374,48.3,154
298.6,309.6,1611,35.7,23
300.3,310.3,1629,34.1,52
297.3,308.7,1556,36.7,114
302.6,310.4,1544,35.1,25
303.4,312.8,1513,35.8,92
298.4,307.7,1626,31.1,166
297.5,308.8,1309,57.3,0
300.5,309.3,1578,30.5,34
300.2,309.8,1557,33.8,19
300.9,310.8,1490,38.1,125
303.9,313.1,1586,31.9,108
297.7,307.3,1514,38.6,19
299.1,310.2,1569,38.2,155
299.8,311.2,1664,28.3,173
299.4,309.2,1513,36.1,212
298.8,310.3,1573,41.8,91
302.4,311.1,1578,32.3,196
302.8,312.4,1368,49.5,10
299.4,310.8,1376,53.9,215
302.4,310.9,1444,40.7,174
304.3,313.5,1802,25.4,170
298.2,307.9,1769,27.2,188
298.2,308.7,1599,36.2,28
302.7,310.5,1520,39.3,73
300.9,312.1,1423,40.2,63
299.2,309.1,1605,34.3,107
298.1,308.7,1642,30.3,3
299.6,309.3,1553,32.4,112
298.9,308.7,1729,26.6,73
300.8,309.4,1489,38.4,109
297.1,307.8,1538,34.3,181
301.5,311.1,1507,38.6,149
298.7,309.7,1868,23.8,118
302.7,312.2,1350,58.6,2
304.1,313.4,1399,43.7,111
299.3,308.9,1767,24.8,196
302.3,311.0,1546,35.5,70
302.4,311.9,1313,55.7,102
302.5,312.2,1574,38.7,30
300.9,310.7,1389,50.0,214
301.7,311.1,1489,41.4,108
298.0,308.8,1610,33.7,212
301.7,309.9,1533,40.9,106
300.4,309.6,1563,34.0,6
299.6,309.1,1366,55.2,95
297.5,308.6,1486,45.9,78
301.0,311.0,1508,46.9,113
297.8,307.9,1447,48.6,46
302.0,311.1,1769,26.0,10
301.4,310.6,1481,37.6,77
298.5,308.2,1301,66.3,42
297.3,308.7,1655,34.1,21
301.1,310.7,1436,45.3,8
300.0,309.1,1882,23.8,84
300.0,309.0,1454,51.7,2
300.6,310.6,1403,50.4,64
298.2,308.0,1411,47.2,168
302.0,309.9,1388,51.4,183
303.7,312.8,1627,31.7,40
297.4,308.4,1571,39.4,0
301.2,311.0,1424,41.4,131
301.0,311.7,1547,34.5,152
298.2,308.4,1398,51.8,76
299.3,310.4,1548,41.6,25
301.1,310.1,1540,36.6,28
303.4,312.3,1502,36.0,69
301.1,310.8,1724,27.5,101
301.6,310.9,1575,40.1,139
302.2,311.7,1393,42.5,53
300.9,312.0,1493,38.7,217
296.7,307.8,1400,47.5,3
298.0,307.6,1593,32.2,118
297.6,308.3,1617,31.7,39
299.5,309.3,1442,46.2,5
301.2,310.7,1527,41.1,53
300.2,309.5,1500,45.7,89
297.3,308.3,1595,32.2,29
297.7,309.6,1480,47.9,18
300.9,311.0,1432,48.1,59
297.6,307.2,1486,40.6,42
299.3,310.4,1629,32.6,177
297.6,308.3,1567,34.6,71
301.4,310.4,1689,30.6,110
301.5,310.5,1551,34.3,166
298.3,308.5,1664,31.6,144
304.0,312.9,1495,46.6,0
297.3,308.5,1350,57.6,186
297.9,307.7,1517,44.4,67
300.3,309.6,1509,46.6,95
301.0,312.0,1518,39.3,196
302.3,311.4,1434,40.3,133
301.1,312.2,1397,54.9,81
301.5,310.7,1394,46.7,130
299.4,309.0,1660,28.4,139
304.0,313.1,1408,39.8,132
299.9,309.3,1389,52.8,0
302.8,310.8,1402,50.5,30
303.3,311.5,1569,36.6,47
298.8,309.2,1452,48.6,98
301.5,310.5,1351,52.9,116
301.7,311.2,1589,37.9,75
302.2,311.6,1545,35.9,152
297.5,308.5,1612,30.0,163
297.8,307.3,1412,50.7,24
300.8,310.6,1402,53.7,93
301.8,310.7,1547,41.7,72
300.7,310.9,1486,38.9,106
297.5,308.6,1671,29.4,136
297.4,308.4,1478,46.2,95
298.6,308.3,1717,28.7,29
297.9,307.8,1365,46.9,73
301.5,310.4,1580,35.7,161
300.2,311.5,1685,31.0,193
303.4,311.8,1515,42.6,204
303.2,311.2,1363,46.7,29
301.9,310.8,1455,42.7,85
303.9,312.8,1419,47.9,196
298.2,308.7,1269,60.9,163
